from,to,I@x=0,I@x=1,I@x=2,x@I=0
Natural areas,Arable land,0,0,0,5
Natural areas,Permanent crops,0,0,0,5
Natural areas,Pastures,0,0,0,5
Natural areas,Agricultural areas,0,0,0,5
Natural areas,Residential,0,0,0,5
Natural areas,Industry & commerce,0,0,0,5
Natural areas,Recreation areas,0,0,0,5
Natural areas,Forest,30.0,17.12495793804153,1.712495793804153,5
Arable land,Arable land,250.0,49.74875006296793,4.974875006296793,5
Arable land,Permanent crops,96.65178356141168,4.25,0.42500000000000004,5
Arable land,Pastures,60.0,4.25,0.42500000000000004,5
Arable land,Agricultural areas,30.0,21.07164318696898,2.1071643186968982,5
Arable land,Residential,71.22692418772608,4.353216186716619,0.4353216186716619,5
Arable land,Industry & commerce,80.2439185626735,3.8507163126524695,0.38507163126524696,5
Arable land,Recreation areas,60.58380606162199,4.25,0.42500000000000004,4
Arable land,Forest,29.27557568633807,0,0,5
Permanent crops,Arable land,60.0,8.107963563094106,0.8107963563094107,5
Permanent crops,Permanent crops,250.0,79.74141868860936,7.9741418688609365,5
Permanent crops,Pastures,0,25.328890437410617,2.532889043741062,5
Permanent crops,Agricultural areas,0,0,0,5
Permanent crops,Residential,69.09830056250526,14.99633431282071,1.4996334312820712,5
Permanent crops,Industry & commerce,0,0,0,5
Permanent crops,Recreation areas,62.20992981277866,5.668777936359103,0.5668777936359103,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,30.0,4.25,0.42500000000000004,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,294.8450495340496,50.0,5.000000000000001,5
Pastures,Agricultural areas,30.0,28.77307581227392,2.877307581227392,5
Pastures,Residential,15.0,0,0,5
Pastures,Industry & commerce,0,0,0,5
Pastures,Recreation areas,0,0,0,5
Pastures,Forest,15.0,0,0,5
Agricultural areas,Arable land,0,4.25,0.42500000000000004,5
Agricultural areas,Permanent crops,0,60.89436806313618,6.089436806313618,5
Agricultural areas,Pastures,14.685772311306525,54.50849718747371,5.450849718747371,5
Agricultural areas,Agricultural areas,996.9510179665813,50.0,5.000000000000001,5
Agricultural areas,Residential,0,1.2195928133675022,0.12195928133675023,5
Agricultural areas,Industry & commerce,0,4.25,0.42500000000000004,5
Agricultural areas,Recreation areas,0,0,0,5
Agricultural areas,Forest,63.022991688356996,11.552148937957408,1.155214893795741,3
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,0,0,5
Residential,Residential,1000.0,50.0,5.000000000000001,5
Residential,Industry & commerce,0,0,0,5
Residential,Recreation areas,15.0,0,0,5
Residential,Forest,15.0,0,0,5
Industry & commerce,Arable land,0,0,0,5
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,0,0,5
Industry & commerce,Industry & commerce,471.89603265889195,100.0,10.000000000000002,5
Industry & commerce,Recreation areas,0,0,0,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,0,0,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,23.510828813703984,2.3510828813703983,5
Recreation areas,Industry & commerce,0,0,0,5
Recreation areas,Recreation areas,867.7940664092075,49.438188061453744,4.943818806145375,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,0,0,0,5
Forest,Permanent crops,0,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,99.59346906221083,0,0,5
Forest,Residential,85.81672756275762,0,0,5
Forest,Industry & commerce,25.831390311474767,0,0,5
Forest,Recreation areas,0,0,0,5
Forest,Forest,1000.0,24.013328687768134,2.4013328687768136,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,0,0,5
Road & rail,Industry & commerce,0,0,0,5
Road & rail,Recreation areas,0,0,0,5
Road & rail,Forest,0,0,0,5
Seaports,Arable land,0,0,0,5
Seaports,Permanent crops,0,0,0,5
Seaports,Pastures,0,0,0,5
Seaports,Agricultural areas,0,0,0,5
Seaports,Residential,0,0,0,5
Seaports,Industry & commerce,0,0,0,5
Seaports,Recreation areas,0,0,0,5
Seaports,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,8.5,0.8500000000000001,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,17.62745781210568,1.762745781210568,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
