Case study,Year,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,2000,0,0.92992032640097166,0.0082343516285676606,0.58974807394575501,0.73819298861770888,0.73763169010649376,0.69233356186995954,0.59162250097052815,0.69921051118401722,0.60415725335307524,0.63864124093522157,0.75927661871282937,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,1,0.92980885744749198,0.0095532126251129737,0.58538167214138315,0.7379261252477376,0.74538096508225138,0.68986706970438816,0.59395460597767613,0.70091792550085363,0.60751897519296416,0.63297169805972131,0.75937112062909951,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,2,0.92948302512193681,0.0073788494642735326,0.57873714765646933,0.73848794286872954,0.73209649369523833,0.69043626020413529,0.59239986930624422,0.69892594213121129,0.6178142483276241,0.63506047701385293,0.75935762035534649,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,3,0.92961164314518241,0.011023764813113585,0.5732316845118266,0.7384458065471553,0.74759504364675355,0.69017063797091982,0.59214074652767223,0.70038040617888664,0.60919983611290862,0.62610856721043151,0.75914161597530083,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,4,0.93074348174974264,0.019972225167023058,0.57550980719236844,0.73871266991712647,0.72545425800173191,0.69142285707036388,0.59291811486338819,0.7013289696882401,0.61592327979268668,0.63058452211214222,0.75918211679655945,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,5,0.9302290096567607,0.011003742383242096,0.58272386234741769,0.73867053359555201,0.72213314015497865,0.69225766980332637,0.59525021987053617,0.70000098077514528,0.60709875996297813,0.63118131609903705,0.75945212227161663,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,6,0.93053769291254973,0.01567493636805075,0.58557151569809496,0.7390216696086721,0.74095280795324703,0.69134696500373094,0.59136337819195617,0.70000098077514528,0.6058381142730197,0.63416528603351086,0.75927661871282937,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,7,0.93030618047070812,0.013178958209914883,0.58879885616219585,0.73851603374977914,0.73209649369523833,0.69146080310368041,0.59265899208481621,0.70038040617888664,0.60856951326792952,0.62968933113180015,0.75953312391413375,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,8,0.93028903140094188,0.015688211368686717,0.58234417523399395,0.73831939758243204,0.73209649369523833,0.69032242210418582,0.59188162374910014,0.70025393104430611,0.6136120960277629,0.62610856721043151,0.75950612336662793,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,9,0.9296888139591295,0.010500526844389076,0.56506841157321819,0.7384738974282048,0.72877537584848506,0.69047420623745182,0.59421372875624823,0.70120249455365957,0.6234871539324367,0.63058452211214222,0.75946562254536942,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,10,0.93022043512187769,0.01350616767928038,0.57456058940880927,0.73834748846348153,0.74095280795324703,0.68994296177102099,0.59136337819195617,0.70101278185178884,0.6157131721776935,0.63416528603351086,0.75920911734406515,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,11,0.92994605000562081,0.012007547919618462,0.58329339301755312,0.73830535214190718,0.74759504364675355,0.69176437137021218,0.59265899208481621,0.69993774320785496,0.61130091226283922,0.63267330106627395,0.75942512172411081,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,12,0.93023758419164382,0.013037816185024313,0.58671057703836582,0.73851603374977914,0.71881202230822538,0.69123312690378158,0.59032688707766823,0.70060173766440237,0.60814929803794338,0.63356849204661603,0.75919561707031225,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,13,0.92968023942424649,0.011569320743280468,0.56279028889267635,0.73872671535765122,0.74095280795324703,0.69168847930357924,0.59188162374910014,0.70139220725553031,0.62684887577232573,0.63207650707937912,0.75931711953408787,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,14,0.930297605935825,0.015595597328606926,0.5848121414712476,0.73841771566610559,0.72545425800173191,0.69058804433740129,0.59317723764196029,0.70041202496253174,0.60352693050809614,0.63297169805972131,0.75924961816532377,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,15,0.92992032640097178,0.010947419421776575,0.57550980719236844,0.73826321582033272,0.74205984723549812,0.69157464120362988,0.59032688707766823,0.69949508023682339,0.61823446355761025,0.63207650707937912,0.75916861652280665,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,16,0.93007466802886618,0.010962888058483018,0.59316525796656772,0.73886716976289923,0.76420063288051965,0.69024653003755299,0.59395460597767613,0.69933698631859775,0.61508284933271429,0.63446368302695821,0.75934412008159369,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,17,0.9298860282614394,0.0092248599818278258,0.58367308013097663,0.73837557934453124,0.70995570805021668,0.69180231740352871,0.59706407932054018,0.70069659401533768,0.59932477820823493,0.62968933113180015,0.75930361926033507,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,18,0.92968881395912972,0.011847867667780471,0.5700043440477256,0.73865648815502716,0.7343105722597405,0.69180231740352871,0.59032688707766823,0.70009583712608048,0.63231167376214525,0.63028612511869486,0.75934412008159369,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,19,0.92993747547073768,0.011142221191371373,0.58538167214138315,0.73854412463082886,0.74759504364675355,0.69020858400423646,0.59395460597767613,0.7007282127989829,0.61004026657288102,0.63535887400730029,0.75943862199786361,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,20,0.92947445058705369,0.011881903823397719,0.57304184095511468,0.7383615339040065,0.72545425800173191,0.69119518087046494,0.59317723764196029,0.70003259955879038,0.62369726154742977,0.63058452211214222,0.75941162145035801,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,21,0.92986887919167338,0.0085226825133936854,0.58860901260548404,0.73824917037980797,0.75534431862251106,0.69115723483714842,0.58773565929194815,0.69924212996766244,0.61277166556779061,0.6284957431580106,0.75941162145035801,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,22,0.92956019593588435,0.009700834785680644,0.56544809868664192,0.7385019883092544,0.7343105722597405,0.69195410153679471,0.5908451326348122,0.70022231226066101,0.61970521686256175,0.63237490407282648,0.75941162145035801,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,23,0.92971453756377853,0.0099337888287137632,0.58405276724440036,0.73816489773665916,0.72988241513073615,0.69244739996990901,0.59395460597767613,0.70047526252982195,0.60962005134289476,0.63177811008593177,0.75930361926033507,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,24,0.93017756244746264,0.013194798544056875,0.58215433167728203,0.73831939758243204,0.74538096508225138,0.69119518087046494,0.5908451326348122,0.70034878739524153,0.61067058941786001,0.62760055217766841,0.75934412008159369,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,25,0.93014326430793037,0.012223884088716908,0.57399105873867384,0.73860030639292795,0.73763169010649376,0.69047420623745182,0.59006776429909624,0.70101278185178884,0.61193123510781844,0.63416528603351086,0.75954662418788654,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,26,0.92951732326146885,0.011521795125553671,0.56677700358362471,0.73843176110663034,0.75313024005800888,0.69119518087046494,0.59343636042053216,0.70107601941907904,0.63462285752706893,0.63386688904006339,0.75942512172411081,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,27,0.9300232208195679,0.010051260804599125,0.58025589611016393,0.73874076079817597,0.72102610087272756,0.69157464120362988,0.5869582909562322,0.70053850009711216,0.6052077914280406,0.63088291910558958,0.75941162145035801,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,28,0.9300232208195679,0.014299202461736734,0.57721839920277473,0.7390778513707712,0.72877537584848506,0.69092955863724959,0.58980864152052415,0.70123411333730468,0.61739403309763807,0.63088291910558958,0.75918211679655945,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2000,29,0.92986030465679048,0.011916435517256125,0.56620747291348916,0.7386143518334527,0.7343105722597405,0.69123312690378158,0.59421372875624823,0.69990612442420985,0.61613338740767964,0.62610856721043151,0.75949262309287513,0.44971084401991795,1.0,0.80692865438891526,0.59355797688091416,0.64136210064837507,0.0
Berlin,2006,0,0.96560851463147579,0.01239408117958643,0.54538786596275135,0.73680011153585212,0.80652337841815824,0.68857549516739969,0.59253810601740109,0.69600286874021089,0.6434631214383788,0.62150101934880597,0.75820099306308197,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,1,0.96558288759319832,0.013429210757819427,0.55026704425619821,0.73694160924482688,0.82653820134041767,0.6889113231740488,0.59165615386592363,0.69540333111368657,0.64386690046279749,0.6223167499105543,0.75829547743555925,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,2,0.96540349832525518,0.014535100455073426,0.53859944398925996,0.73718215535008413,0.82431433212683336,0.68913520851181487,0.5969478667747885,0.69527711266599723,0.64326123192616946,0.62041337859980827,0.75817399752808856,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,3,0.96555726055492075,0.0092752191782336582,0.5451757277760797,0.73681426130674954,0.80207563999098941,0.68838892405259466,0.59033322563870738,0.69530866727791962,0.64386690046279749,0.61687854616556592,0.75821449083057868,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,4,0.96564268401584619,0.014156915204112072,0.54835780057615369,0.73657371520149229,0.81653078987928795,0.6889113231740488,0.59253810601740109,0.69587665029252166,0.64285745290175089,0.6212291091615566,0.7582279885980755,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,5,0.9657110227845862,0.014080031502311319,0.55450980798963023,0.73672936268136457,0.82209046291324894,0.68965760763326911,0.59099468975231539,0.69556110417329819,0.64326123192616946,0.61823809710181299,0.75829547743555925,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,6,0.96550600647836538,0.012313230248346374,0.5392358585492748,0.73716800557918671,0.79985177077740499,0.68928446540365895,0.59606591462331104,0.69568732262098765,0.64305934241396012,0.62041337859980827,0.75832247297055266,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,7,0.9655999722853833,0.012523320293114659,0.54623641870943773,0.73709725672469939,0.80207563999098941,0.68991880719399623,0.59496347443396425,0.69571887723290993,0.64326123192616946,0.61932573785081058,0.758362966273043,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,8,0.96569393809240123,0.01269082317248226,0.55196414974957109,0.73671521291046715,0.81097111684532697,0.68913520851181487,0.59055371367657672,0.69559265878522059,0.6434631214383788,0.61388753410582231,0.75828197966806254,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,9,0.96552309117055057,0.0094688833644096387,0.54475145140273651,0.73665861382687725,0.80207563999098941,0.68943372229550304,0.59253810601740109,0.69527711266599723,0.64265556338954166,0.62204483972330493,0.75818749529558527,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,10,0.96583915797597408,0.018206829903318917,0.54963062969618337,0.73674351245226211,0.82097852830645679,0.68887400895108786,0.59518396247183358,0.69568732262098765,0.64467445851163463,0.61905382766356132,0.75821449083057868,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,11,0.96540349832525518,0.010405267099906643,0.54666069508278092,0.73694160924482688,0.81430692066570354,0.68969492185623005,0.59518396247183358,0.69571887723290993,0.64447256899942529,0.62857068421729101,0.75816049976059163,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,12,0.96529244782605228,0.0081037575502493717,0.54878207694949699,0.73702650787021184,0.82653820134041767,0.68894863739700984,0.59231761797953175,0.69571887723290993,0.64386690046279749,0.62150101934880597,0.75832247297055266,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,13,0.96577936155332622,0.016787569228855805,0.55175201156289944,0.73718215535008413,0.8076353130249504,0.68913520851181487,0.59738884285052729,0.69568732262098765,0.64386690046279749,0.61851000728906247,0.75828197966806254,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,14,0.96532661721042234,0.011333101175067384,0.54602428052276608,0.73672936268136457,0.82765013594720982,0.68958297918734701,0.59297908209313976,0.69537177650176429,0.64427067948721595,0.61932573785081058,0.75832247297055266,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,15,0.96578790389941871,0.015809810158623532,0.55196414974957109,0.73680011153585212,0.8076353130249504,0.68872475205924377,0.5898922495629686,0.6957819864567546,0.6434631214383788,0.62394821103405085,0.75829547743555925,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,16,0.96577936155332655,0.019276099175031317,0.54560000414942289,0.73721045489187931,0.79873983617061284,0.68969492185623005,0.59650689069904972,0.69559265878522059,0.6450782375360532,0.61905382766356132,0.75816049976059163,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,17,0.96562559932366077,0.016487980395145194,0.54050868766930438,0.73665861382687725,0.81653078987928795,0.68909789428885393,0.59430201032035601,0.69575043184483232,0.64386690046279749,0.62068528878705775,0.75825498413306902,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,18,0.96580498859160413,0.015349776265538406,0.55047918244286975,0.73704065764110938,0.80096370538419726,0.68962029341030806,0.59143566582805418,0.69568732262098765,0.64487634802384386,0.62313248047230263,0.75818749529558527,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,19,0.96558288759319832,0.012058723959065652,0.55260056430958593,0.73725290420457168,0.82097852830645679,0.68894863739700984,0.59077420171444606,0.69527711266599723,0.64204989485291364,0.62394821103405085,0.75821449083057868,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,20,0.96584770032206657,0.016564708661622397,0.54941849150951183,0.7370548074120068,0.81097111684532697,0.68954566496438607,0.59430201032035601,0.69565576800906526,0.64487634802384386,0.61905382766356132,0.75826848190056573,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,21,0.96595020847517676,0.019825009552134162,0.55366125524294385,0.73685671061944191,0.81653078987928795,0.69025463520064534,0.59143566582805418,0.69537177650176429,0.64326123192616946,0.61905382766356132,0.75813350422559822,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,22,0.96541204067134767,0.0097919876474702079,0.5475092478294673,0.73664446405597983,0.81986659369966453,0.68920983695773697,0.59496347443396425,0.69530866727791962,0.64568390607268111,0.62150101934880597,0.75817399752808856,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,23,0.96553163351664328,0.012025300606620371,0.55090345881621305,0.73671521291046715,0.82431433212683336,0.68962029341030806,0.59187664190379297,0.69568732262098765,0.64406878997500661,0.61796618691456362,0.75821449083057868,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,24,0.96563414166975325,0.014547311228172113,0.55153987337622778,0.73691330970303204,0.81764272448608022,0.68958297918734701,0.59099468975231539,0.69540333111368657,0.64245367387733232,0.61579090541656811,0.75833597073804959,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,25,0.96565122636193834,0.012636873763872323,0.5475092478294673,0.73680011153585212,0.79318016313665196,0.68976955030215215,0.59099468975231539,0.69556110417329819,0.64386690046279749,0.61878191747631184,0.75826848190056573,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,26,0.96553163351664328,0.014738479364898137,0.54538786596275135,0.73721045489187931,0.81430692066570354,0.68969492185623005,0.59518396247183358,0.69527711266599723,0.64305934241396012,0.61878191747631184,0.75825498413306902,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,27,0.96554017586273544,0.01275208720550408,0.5475092478294673,0.73713970603739176,0.81541885527249569,0.68928446540365895,0.5931995701310091,0.6957819864567546,0.6434631214383788,0.62150101934880597,0.75816049976059163,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,28,0.96556580290101324,0.013082159147499241,0.54560000414942289,0.73725290420457168,0.8076353130249504,0.68965760763326911,0.59760933088839652,0.69571887723290993,0.64285745290175089,0.62503585178304844,0.75824148636557231,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
Berlin,2006,29,0.96546329474790282,0.013381019317469109,0.54963062969618337,0.73723875443367415,0.82876207055400208,0.68950835074142502,0.59606591462331104,0.69571887723290993,0.64225178436512298,0.62095719897430712,0.75829547743555925,0.44971084401991795,1.0,0.80248032292126914,0.64607638266897183,0.63946162382333327,0.0
