Case study,Year,Seed,Kappa,KSIM,AAWCE
Berlin,2000,0,0.93060628919161437,0.055529530666617269,0.012083964929089476
Berlin,2000,1,0.93005751895910016,0.05123507361761151,0.011541744700693054
Berlin,2000,2,0.93032332954047414,0.055593743321277277,0.011809467466399479
Berlin,2000,3,0.93055484198231597,0.050414776739625869,0.011781024928946842
Berlin,2000,4,0.93072633267997651,0.055711122963308379,0.011785978332816787
Berlin,2000,5,0.93031475500559102,0.05394974221035477,0.01209771403539334
Berlin,2000,6,0.93179814954035567,0.064696722032919804,0.012320950515118083
Berlin,2000,7,0.93136084826132104,0.06178924362865524,0.011879576275059337
Berlin,2000,8,0.93149804081944954,0.062688248664463764,0.011586047392101471
Berlin,2000,9,0.93089782337763738,0.053264025240959086,0.011757286878316588
Berlin,2000,10,0.93039192581953833,0.051075375834298893,0.011525819120663383
Berlin,2000,11,0.93118078302877738,0.057105311736890471,0.011239910154806364
Berlin,2000,12,0.93040907488930435,0.0560321418626782,0.011747769663905042
Berlin,2000,13,0.93014326430793037,0.051752296895643937,0.011491073415292477
Berlin,2000,14,0.93089782337763738,0.058804203843453973,0.01161684536069716
Berlin,2000,15,0.93070918361021071,0.055947056797966209,0.011671964905104559
Berlin,2000,16,0.9304262239590706,0.049905546050314005,0.011140017625891787
Berlin,2000,17,0.92985173012190736,0.049624956888508875,0.011554264465966484
Berlin,2000,18,0.9305719910520821,0.055638049192154065,0.011567237961587788
Berlin,2000,19,0.93074348174974286,0.056072070855243933,0.012114851269532309
Berlin,2000,20,0.93045194756371952,0.055343070964352856,0.011638835786524714
Berlin,2000,21,0.93009181709863198,0.054332611096485975,0.011603815019675792
Berlin,2000,22,0.93004036988933403,0.054505200335145464,0.012084352102201044
Berlin,2000,23,0.93070918361021049,0.052764697076800295,0.011178023583596243
Berlin,2000,24,0.93123223023807566,0.061881252103658815,0.012093315771572287
Berlin,2000,25,0.93039192581953833,0.052969647214036034,0.011537593832683622
Berlin,2000,26,0.93103501593576565,0.060212945396997716,0.011905520381043035
Berlin,2000,27,0.93044337302883651,0.054767196988800414,0.012004138299783577
Berlin,2000,28,0.93038335128465532,0.045550499791958014,0.011639475358150592
Berlin,2000,29,0.93115505942412835,0.059731831892959407,0.011842633358206652
Berlin,2000,30,0.93064916186602931,0.056083612105463969,0.012044919461887118
Berlin,2000,31,0.92994605000562069,0.046574758986809052,0.012311510237763463
Berlin,2000,32,0.92998034814515285,0.051767305492867052,0.011653299433191723
Berlin,2000,33,0.931326550121789,0.058844098013725837,0.011668551294516716
Berlin,2000,34,0.93068346000556146,0.056404103634950617,0.011790912886439379
Berlin,2000,35,0.93086352523810501,0.057032501123770972,0.011873013724094692
