Case study,Year,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Berlin,2000,0,0.909641551,0.045918613,0.522923142,0.767800777,0.836158186,0.755513707,0.661585651,0.722450317,0.694713635,0.666690558,0.765203239,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,1,0.910207471,0.045856123,0.539059844,0.768137868,0.842800422,0.754640949,0.665990738,0.722956218,0.696814712,0.667585749,0.765783751,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,2,0.909795893,0.048440421,0.523682516,0.767365369,0.829515951,0.755475761,0.661844774,0.72289298,0.696394496,0.666690558,0.765365242,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,3,0.909564381,0.037718091,0.533364538,0.767758641,0.847228579,0.75376819,0.66054916,0.723177549,0.695554066,0.661319412,0.765540746,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,4,0.909873064,0.046983333,0.530327041,0.768573276,0.826194833,0.755058355,0.661585651,0.722829743,0.697234927,0.665198573,0.765932254,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,5,0.910516154,0.052288957,0.5270997,0.768798004,0.828408911,0.7579802,0.664954247,0.72264003,0.695554066,0.666392161,0.765216739,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,6,0.910541878,0.050511776,0.525960639,0.769430048,0.839479304,0.753312837,0.666249861,0.723209168,0.695764173,0.665795367,0.766175259,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,7,0.911107797,0.05367265,0.53241532,0.768432822,0.842800422,0.753730244,0.66236302,0.722956218,0.69786525,0.667884146,0.765513745,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,8,0.91067907,0.053139022,0.543426246,0.769163185,0.847228579,0.754565057,0.662103897,0.72264003,0.695974281,0.664900176,0.766269761,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,9,0.910481856,0.044719801,0.530137197,0.767941232,0.84612154,0.753198999,0.660290037,0.722861361,0.695764173,0.666392161,0.765864752,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,10,0.910404685,0.044437293,0.535832504,0.767744595,0.823980754,0.752857485,0.660808283,0.722956218,0.69786525,0.666690558,0.765149238,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,11,0.910190322,0.04409264,0.538680157,0.769022731,0.823980754,0.752667755,0.666768107,0.722766505,0.69786525,0.664900176,0.765851252,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,12,0.910096002,0.047058064,0.530137197,0.767828868,0.848335618,0.753009269,0.664954247,0.723114312,0.697234927,0.667884146,0.764933233,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,13,0.90958153,0.04469333,0.533174694,0.767351323,0.823980754,0.757335117,0.666508984,0.722703267,0.693873205,0.666093764,0.765176238,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,14,0.910010256,0.045989879,0.533934068,0.768250231,0.837265226,0.752629809,0.664176879,0.72238708,0.695764173,0.666988955,0.765432744,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,15,0.909915937,0.046669087,0.533364538,0.769050821,0.827301872,0.756690034,0.662622142,0.723556975,0.69786525,0.666392161,0.765999755,0.449710844,1,0.806928654,0.593557977,0.641362101,0
Berlin,2000,16,0.909495784,0.043754573,0.53298485,0.768306413,0.838372265,0.755931114,0.665731616,0.723019455,0.697655142,0.666093764,0.765608247,0.449710844,1,0.806928654,0.593557977,0.641362101,0
