Var Par Value,Seed,KSIM,AWACE
0.0,0,-0.00089404567592744563,0.018540231197139573
0.0,1,0.00015385556674625049,0.018582293807197055
0.0,2,-0.0040293103856018139,0.018858148277661625
0.0,3,-0.0020967041468808734,0.018250519614476067
0.0,4,-0.00087067836455532446,0.018630370517539824
0.0,5,-0.0050411624235160652,0.018680146190107917
0.0,6,-0.0020544079604443693,0.018608385631367463
0.0,7,-0.0037170393270854838,0.018690368468168288
0.0,8,-0.0033458476769207624,0.018442603430372854
0.0,9,-0.002345648396153751,0.018730157797930053
0.01,0,0.0021489062142500313,0.010064313044978119
0.01,1,0.00033162051230904629,0.0099597749592729538
0.01,2,0.00013734689266077795,0.010261005583567679
0.01,3,0.0020150649646542163,0.0095931204241256444
0.01,4,0.0049048826195807905,0.0099558673454260508
0.01,5,-0.0020787304549020635,0.010200247451277889
0.01,6,0.0029722133395565457,0.010119562904697482
0.01,7,0.0025828812795604438,0.010208131878901986
0.01,8,0.0030616451399239552,0.010335419708106693
0.01,9,0.00052054015566521574,0.010542189982285141
0.02,0,0.0045985751183383241,0.0040441208668472034
0.02,1,0.010166148934533183,0.003343659364273519
0.02,2,0.002438547889542942,0.0036465655200321754
0.02,3,0.0079620079364216296,0.0034285351485286186
0.02,4,0.01078844959337733,0.0034241459799892646
0.02,5,0.0039514465430973292,0.0036187251494345036
0.02,6,0.0067009810620240811,0.0037494039223781271
0.02,7,0.0037236762905553272,0.0038284450349383489
0.02,8,0.0097522129780071021,0.0037706256186189114
0.02,9,0.003548784320174231,0.0038250528276408831
0.03,0,0.0073692589352057983,0.001752652134384791
0.03,1,0.0068606903309800021,0.0015758845224688608
0.03,2,0.0060272591177282795,0.0022538177132099962
0.03,3,0.006349546472246735,0.0022140807587757334
0.03,4,0.013687142067413208,0.0020340924325431583
0.03,5,0.0064750711478508251,0.0018648713831628701
0.03,6,0.010779024418266642,0.0020985247952350038
0.03,7,0.010138585377499659,0.0016087487143086011
0.03,8,0.012140199418238802,0.0016835804554470582
0.03,9,0.0066615004907070599,0.0015632706722515323
0.04,0,0.0070821923632765306,0.0033020118029803988
0.04,1,0.0088282675465575777,0.0032651997869332129
0.04,2,0.0066793302025557567,0.0034928287882228454
0.04,3,0.010219121287068924,0.0032237343474057312
0.04,4,0.016686516365628415,0.0036413363651947328
0.04,5,0.0085219039259357785,0.003589914754647267
0.04,6,0.013534279256447901,0.0036462741724501832
