theta_ct value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0,0.046661806,0.006839983,0.027240276,0.000607636
0.001,0.046484142,0.006355157,0.027259694,0.000580882
0.002,0.04617986,0.005613197,0.027264993,0.000610068
0.003,0.04632303,0.006144815,0.027292212,0.000562797
0.004,0.046868791,0.007490782,0.027330268,0.000603741
0.005,0.046633042,0.007771666,0.027349555,0.000576044
0.006,0.046750875,0.007436054,0.02733901,0.000545651
0.007,0.046455467,0.006732557,0.027342411,0.000580556
0.008,0.046899114,0.007236643,0.02737528,0.000556226
0.009,0.047193578,0.008289778,0.027387586,0.000577967
0.01,0.047577937,0.007997045,0.027415477,0.00067255
0.011,0.047630831,0.008574144,0.027452862,0.000663193
0.012,0.047657914,0.007261778,0.027504861,0.000588865
0.013,0.047561007,0.007974979,0.027548414,0.000549287
0.014,0.047795257,0.007722786,0.027588083,0.000546388
0.015,0.047578048,0.008214454,0.027641447,0.000497729
0.016,0.047578667,0.007629659,0.027613696,0.000498055
0.017,0.047924879,0.007977279,0.027635793,0.000448288
0.018,0.047571391,0.008300429,0.027648178,0.000430877
0.019,0.048037042,0.008371927,0.027710145,0.000456774
0.02,0.048025717,0.008923935,0.027723451,0.000394102
0.021,0.048176935,0.008366199,0.027739404,0.000434182
0.022,0.048258763,0.008311033,0.027792944,0.000379013
0.023,0.048628606,0.00829257,0.027801102,0.000462671
0.024,0.048551008,0.007860146,0.027812116,0.000429165
0.025,0.048386615,0.008115414,0.027865584,0.000409275
0.026,0.048724546,0.007548204,0.02792118,0.000362915
0.027,0.048699893,0.008225418,0.027966748,0.000395552
0.028,0.048389695,0.007692108,0.0279959,0.000304259
0.029,0.048478504,0.007233795,0.028027058,0.000374533
0.03,0.048163383,0.007027225,0.028062865,0.000460529
0.031,0.048091425,0.007075484,0.028024294,0.000454695
0.032,0.048100121,0.007248227,0.028114112,0.000409649
0.033,0.04783479,0.007165966,0.028062187,0.000364099
0.034,0.0473587,0.005817183,0.028090422,0.000293263
0.035,0.047220179,0.005899579,0.028055349,0.000310807
0.036,0.04675631,0.006244526,0.028095798,0.000311621
0.037,0.046643441,0.005544399,0.028077513,0.00027011
0.038,0.046346298,0.006042121,0.028108784,0.000378996
0.039,0.046244854,0.006270073,0.028094313,0.000327959
0.04,0.045910184,0.006701686,0.028199357,0.000399274
0.041,0.045509599,0.006554149,0.028233846,0.000499976
0.042,0.045240862,0.007267937,0.028314545,0.000439682
0.043,0.044995661,0.006846095,0.028397169,0.000482975
0.044,0.044563134,0.006982166,0.028472111,0.000426492
0.045,0.044297667,0.006952776,0.028571387,0.000333304
0.046,0.04391826,0.006982585,0.028593753,0.000416034
0.047,0.043229324,0.00710048,0.028706171,0.000398422
0.048,0.042749018,0.006442366,0.028819789,0.000511213
0.049,0.042424803,0.006404339,0.028947895,0.00044982
0.05,0.042001183,0.006088649,0.029088838,0.000615234
