From,To,Distance,Value,KSIM,AWACE
Residential,Residential,0,1000.0,0.067869352357848078,0.012268623075576027
Industry & commerce,Industry & commerce,0,1000.0,0.067869352357848078,0.012268623075576027
Agricultural areas,Agricultural areas,0,1000.0,0.067869352357848078,0.012268623075576027
Pastures,Pastures,0,996.9510179665813,0.067894803071006857,0.012265817305304771
Permanent crops,Permanent crops,0,867.7940664092075,0.070634096397299964,0.010704975764266475
Recreation areas,Recreation areas,0,1000.0,0.070634096397299964,0.010704975764266475
Forest,Forest,0,500.0,0.070634096397299964,0.010704975764266475
Arable land,Arable land,0,250.0,0.070634096397299964,0.010704975764266475
Residential,Residential,1,10.25,0.070634096397299964,0.010704975764266475
Industry & commerce,Industry & commerce,1,25.328890437410617,0.070882547981911515,0.010790331632945313
Agricultural areas,Agricultural areas,1,52.3798735622529,0.072026852413724543,0.011539062339633876
Pastures,Pastures,1,10.25,0.072026852413724543,0.011539062339633876
Permanent crops,Permanent crops,1,20.5,0.072026852413724543,0.011539062339633876
Recreation areas,Recreation areas,1,48.12262631181126,0.072572444174148654,0.011616908931698037
Forest,Forest,1,59.57880631349369,0.099744005273236888,0.034315000001008435
Arable land,Arable land,1,13.680772563178227,0.10266278488576036,0.03718018630552905
Agricultural areas,Residential,0,45.5,0.10266278488576036,0.03718018630552905
Pastures,Residential,0,45.5,0.10266278488576036,0.03718018630552905
Permanent crops,Residential,0,22.75,0.10266278488576036,0.03718018630552905
Arable land,Residential,0,82.37254218789434,0.10308357682216567,0.037158773433824184
Natural areas,Residential,0,66.1566150617061,0.10325432815953883,0.037201883862652343
Forest,Agricultural areas,0,22.75,0.10325432815953883,0.037201883862652343
Residential,Industry & commerce,0,22.75,0.10325432815953883,0.037201883862652343
Agricultural areas,Industry & commerce,0,22.75,0.10325432815953883,0.037201883862652343
Agricultural areas,Pastures,0,22.75,0.10325432815953883,0.037201883862652343
Pastures,Industry & commerce,0,45.5,0.10325432815953883,0.037201883862652343
Pastures,Agricultural areas,0,22.75,0.10325432815953883,0.037201883862652343
Permanent crops,Industry & commerce,0,22.75,0.10325432815953883,0.037201883862652343
Permanent crops,Agricultural areas,0,22.75,0.10325432815953883,0.037201883862652343
Permanent crops,Pastures,0,85.81672756275762,0.10378818260324194,0.03676221472578485
Arable land,Industry & commerce,0,91.0,0.10378818260324194,0.03676221472578485
Arable land,Agricultural areas,0,87.94535118797845,0.10386985737068374,0.036691559331720011
Arable land,Pastures,0,90.07397481319927,0.10402591545988649,0.036655686773795
Arable land,Permanent crops,0,91.0,0.10402591545988649,0.036655686773795
Natural areas,Pastures,0,0.9090308118533164,0.10641148284463216,0.035683024113370855
Fresh water,Recreation areas,0,22.75,0.10641148284463216,0.035683024113370855
Residential,Recreation areas,0,45.5,0.10641148284463216,0.035683024113370855
Pastures,Recreation areas,0,45.5,0.10641148284463216,0.035683024113370855
Arable land,Recreation areas,0,91.0,0.10641148284463216,0.035683024113370855
Agricultural areas,Arable land,0,22.75,0.10641148284463216,0.035683024113370855
Pastures,Arable land,0,91.0,0.10641148284463216,0.035683024113370855
Permanent crops,Arable land,0,41.234255562084655,0.10641478329570524,0.035718340913481653
Arable land,Forest,0,8.610463437158256,0.10762758912092528,0.034966283382695688
Natural areas,Forest,0,90.07397481319927,0.10773765777614799,0.035015379173036265
Natural areas,Arable land,0,13.370210561664042,0.1090458534247908,0.033040953830976924
Agricultural areas,Residential,1,1.25,0.1090458534247908,0.033040953830976924
Fresh water,Agricultural areas,1,1.25,0.1090458534247908,0.033040953830976924
Mine & dump sites,Pastures,1,71.22692418772608,0.10940318051513395,0.033134390547010138
Mine & dump sites,Permanent crops,1,1.25,0.10940318051513395,0.033134390547010138
Recreation areas,Industry & commerce,1,33.03032306271555,0.11101959180756259,0.032829245955079037
Recreation areas,Pastures,1,38.60313206279969,0.11278794334835605,0.033649835865817226
Residential,Industry & commerce,1,1.25,0.11278794334835605,0.033649835865817226
Agricultural areas,Permanent crops,1,21.884705062547315,0.11337222796471949,0.033694391859757492
Permanent crops,Industry & commerce,1,9.92602518680074,0.1133831367350636,0.033661361042724922
Permanent crops,Agricultural areas,1,1.25,0.1133831367350636,0.033661361042724922
Permanent crops,Pastures,1,1.25,0.1133831367350636,0.033661361042724922
Arable land,Pastures,1,1.25,0.1133831367350636,0.033661361042724922
Arable land,Permanent crops,1,1.2195928133675022,0.1133831367350636,0.033661361042724922
Fresh water,Recreation areas,1,42.04731743766298,0.11346725674913807,0.033646133628000223
Industry & commerce,Recreation areas,1,40.421193686506314,0.11376018794671773,0.033642343468402419
Residential,Recreation areas,1,1.25,0.11376018794671773,0.033642343468402419
Pastures,Arable land,1,2.2245925614958004,0.11386409736638438,0.0336111008104353
Permanent crops,Arable land,1,5.0,0.11386409736638438,0.0336111008104353
Natural areas,Forest,1,2.5,0.11386409736638438,0.0336111008104353
