Case study,Year,Seed,Kappa,KSIM,AAWCE
Budapest,2000,0,0.90278393323391948,0.068235346435482555,0.017051208554662411
Budapest,2000,1,0.90262590115573027,0.068902232667599539,0.017665071293279454
Budapest,2000,2,0.90260834203593132,0.06588253471119121,0.017155833212656044
Budapest,2000,3,0.90281027191361762,0.068934750908663023,0.017730498332197246
Budapest,2000,4,0.90290684707251112,0.069619043314154944,0.017805002026812337
Budapest,2000,5,0.90268735807502609,0.069874225649701721,0.017806285225333583
Budapest,2000,6,0.90266979895522714,0.066667305197573093,0.017516855815659305
Budapest,2000,7,0.9026083420359311,0.067044659066131981,0.017488964510383197
Budapest,2000,8,0.90260834203593143,0.06600765956717361,0.017396150745380506
Budapest,2000,9,0.90261712159583085,0.06652153436912607,0.017322350492241713
Budapest,2000,10,0.90286294927301403,0.066455619314098671,0.01714758593370044
Budapest,2000,11,0.90290684707251112,0.070684453039577336,0.017183698174000245
Budapest,2000,12,0.90262590115573027,0.065665437372143004,0.017228464849841488
Budapest,2000,13,0.90261712159583074,0.066222417777195508,0.01750802696171706
Budapest,2000,14,0.90270491719482493,0.066336081541835956,0.01785073301908801
Budapest,2000,15,0.90274003543442249,0.068153446412179602,0.017352321847518594
Budapest,2000,16,0.90277515367401984,0.067493334040449965,0.017301132595519037
Budapest,2000,17,0.90253810555673619,0.065423425773429578,0.017461127129868893
Budapest,2000,18,0.90317901342939255,0.072256765598211356,0.017368022198386728
Budapest,2000,19,0.90267857851512656,0.068243802090526065,0.017083721472552556
Budapest,2000,20,0.90327558858828572,0.072922794417136616,0.016948867445941793
Budapest,2000,21,0.90309121783039847,0.06892209138058325,0.017821892352123534
Budapest,2000,22,0.90234495523894942,0.065304234339167849,0.017721320050201411
Budapest,2000,23,0.9025381055567363,0.066596066372071605,0.01739026833754332
Budapest,2000,24,0.90265223983542842,0.065083800344222092,0.017634946584963718
Budapest,2000,25,0.90278393323391948,0.06720873700872286,0.01715780308700866
Budapest,2000,26,0.9028980675126117,0.068019072558442889,0.017274927090036009
Budapest,2000,27,0.90273125587452319,0.067539811976011416,0.017126178799018458
Budapest,2000,28,0.90246786907754095,0.065911942056752354,0.017220968716379573
Budapest,2000,29,0.9028980675126117,0.070634342065693426,0.017472500916641345
Budapest,2000,30,0.90307365871059986,0.069085007730592909,0.017397726513033188
Budapest,2000,31,0.90267857851512656,0.067471182436163485,0.016987733090908716
Budapest,2000,32,0.9027488149943218,0.067701541801104215,0.017531507825081435
Budapest,2000,33,0.90274003543442249,0.068661832519715971,0.017314891013921647
Budapest,2000,34,0.90267857851512667,0.066378200699494003,0.017458149896361356
Budapest,2000,35,0.90297708355170614,0.068544334327988288,0.017589926892262686
Budapest,2000,36,0.90258200335623306,0.067151265149502384,0.01692515974838563
Budapest,2000,37,0.90268735807502609,0.068608460745249039,0.017429311863110277
Budapest,2000,38,0.90297708355170636,0.068175996572522948,0.017248665265598984
Budapest,2000,39,0.90259956247603212,0.065399116329204435,0.017047146499507865
Budapest,2000,40,0.9029507448720081,0.068786879810149942,0.017103990946906365
Budapest,2000,41,0.90252932599683688,0.066345609181323942,0.016960259314475895
Budapest,2000,42,0.90327558858828583,0.07242811569302092,0.017592422356896471
Budapest,2000,43,0.90324924990858768,0.072803911094338133,0.017352508970003136
Budapest,2000,44,0.90283661059331566,0.068349305986277892,0.017708143235241801
Budapest,2000,45,0.90252054643693724,0.064685646752972378,0.017727613595457319
Budapest,2000,46,0.9025820033562334,0.065987964637262614,0.017128359433527904
Budapest,2000,47,0.90309999739029789,0.070067210989880682,0.016808955385627957
Budapest,2000,48,0.90223082096025697,0.065550228133492691,0.01735519276311772
Budapest,2000,49,0.90277515367402006,0.067056736122404273,0.017610836418829705
Budapest,2006,0,0.8911099700283579,0.046416097864466481,0.013543233617726148
Budapest,2006,1,0.89110997002835779,0.044292634389789254,0.013037241670778616
Budapest,2006,2,0.89120664398555605,0.048463808605961743,0.0133972398653548
Budapest,2006,3,0.89166364814685739,0.049810117986585384,0.01296717202980343
Budapest,2006,4,0.89170759085467499,0.050430796843174294,0.01295730628690884
Budapest,2006,5,0.89125058669337376,0.046800947710982463,0.012938685553640588
Budapest,2006,6,0.89084631378145285,0.043147426469222885,0.0129417308165532
Budapest,2006,7,0.89112754711148479,0.047612989885700792,0.012985044958487797
Budapest,2006,8,0.89158455127278624,0.049755153954746133,0.013112935400660729
Budapest,2006,9,0.89088146794770695,0.044770388021407787,0.01321978528758635
Budapest,2006,10,0.89042446378640572,0.040299858307265762,0.012981917296070039
Budapest,2006,11,0.89107481586210402,0.045857804867944545,0.013039787466116374
Budapest,2006,12,0.89118906690242916,0.047064725103939054,0.0130615201402708
Budapest,2006,13,0.89110118148679418,0.04520286062853409,0.013208430134388471
Budapest,2006,14,0.89117148981930217,0.046432745258759026,0.013144867691095829
Budapest,2006,15,0.89092541065552444,0.043600610947708854,0.013009787276155978
Budapest,2006,16,0.891435146066207,0.049515220456874079,0.013331035186734817
Budapest,2006,17,0.89083752523988968,0.044103445003475711,0.013050404318306823
Budapest,2006,18,0.89078479399050892,0.042629984382559889,0.012957090999830655
Budapest,2006,19,0.89094298773865133,0.046483843409241853,0.013162789955764382
Budapest,2006,20,0.8911187585699214,0.046076687743612239,0.013179666325816478
Budapest,2006,21,0.89081115961519897,0.04290354036634661,0.013224762942593452
Budapest,2006,22,0.89058265753454846,0.042541275444123179,0.013499542267306654
Budapest,2006,23,0.89091662211396094,0.044917601269012834,0.013140869361476718
Budapest,2006,24,0.89167243668842111,0.050911046752395696,0.013210903834044717
Budapest,2006,25,0.8907672169073817,0.042344140453716206,0.01302508040967295
Budapest,2006,26,0.89096935336334193,0.045510946297837127,0.013177719704621208
Budapest,2006,27,0.89041567524484211,0.039563561027091007,0.013219976232238029
Budapest,2006,28,0.89097814190490543,0.045177143622202168,0.013238535834370697
Budapest,2006,29,0.89096056482177843,0.046116241650254505,0.013740337881431634
Budapest,2006,30,0.89085510232301668,0.044591591590518044,0.013505980319478122
Budapest,2006,31,0.89095177628021516,0.04639509851510127,0.013477206586002655
Budapest,2006,32,0.89105723877897669,0.045317675657855883,0.013165353465777687
Budapest,2006,33,0.89087267940614356,0.043838503330766873,0.012810461521363456
Budapest,2006,34,0.89060902315923873,0.04254908078213069,0.013112932803613239
Budapest,2006,35,0.89110118148679407,0.048656078935633132,0.013190640092400306
Budapest,2006,36,0.89128574085962753,0.048306737546218351,0.013075010191911525
Budapest,2006,37,0.89091662211396105,0.044412935120862522,0.013281460287214181
Budapest,2006,38,0.8907672169073817,0.044540310213091162,0.013325724149461246
Budapest,2006,39,0.89126816377650042,0.045563449668213636,0.012909242722294823
Budapest,2006,40,0.89098693044646882,0.045548664942442245,0.012971675037620804
