theta_si value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0,0.067181558,0.002406847,0.015409421,0.000409028
0.001,0.067386759,0.002492154,0.01540111,0.000417915
0.002,0.067290704,0.00286499,0.015382345,0.000382478
0.003,0.066861909,0.003004046,0.015377259,0.000397801
0.004,0.067063029,0.003526723,0.015357276,0.000385292
0.005,0.067104189,0.00322309,0.01535145,0.000385848
0.006,0.067093049,0.003120253,0.015344912,0.000391045
0.007,0.066910609,0.003068298,0.015321504,0.000386084
0.008,0.066842396,0.003085323,0.015304674,0.0003783
0.009,0.067076649,0.002918531,0.015292172,0.000375097
0.01,0.067100644,0.003031513,0.015278495,0.000398359
0.011,0.067036767,0.002872245,0.015262878,0.000407337
0.012,0.066815021,0.002420973,0.01523863,0.000390408
0.013,0.066849508,0.002049205,0.015227232,0.000402787
0.014,0.066871733,0.002589911,0.015205921,0.000407673
0.015,0.066655173,0.002518776,0.015199102,0.000412543
0.016,0.067025566,0.00246517,0.015179132,0.00044368
0.017,0.066830877,0.002603849,0.015155031,0.000457446
0.018,0.066736901,0.002885305,0.015125288,0.000448365
0.019,0.066714475,0.003031824,0.015104412,0.000444405
0.02,0.066866928,0.003653974,0.01507591,0.000443575
0.021,0.066947504,0.003784747,0.015056904,0.000456621
0.022,0.06682311,0.004183455,0.01503411,0.000450125
0.023,0.066904045,0.004473788,0.015005889,0.000472862
0.024,0.066958087,0.004294229,0.014996468,0.000468078
0.025,0.067049197,0.004156617,0.014973125,0.000457135
0.026,0.067099161,0.003905891,0.014941787,0.000456436
0.027,0.067307475,0.003552287,0.014915759,0.000461565
0.028,0.067401514,0.003588681,0.01486013,0.000465587
0.029,0.067465143,0.003749302,0.014825794,0.000447265
0.03,0.067506408,0.003597575,0.014777455,0.000411782
0.031,0.067507208,0.003586804,0.014754372,0.000442877
0.032,0.067232402,0.003686427,0.014718112,0.000436728
0.033,0.067453259,0.003669012,0.014669487,0.000421017
0.034,0.067564106,0.003532369,0.014598677,0.000423917
0.035,0.067634849,0.003416657,0.014531339,0.000412042
0.036,0.067643566,0.003261818,0.014488416,0.0003793
0.037,0.06751121,0.003274968,0.014427413,0.000350379
0.038,0.067506988,0.003272369,0.014373884,0.000339773
