theta_cp value,KSIM avg.,KSIM_err,CLU avg,CLU_err
0,0.064432126,0.002598237,0.010804192,0.00037588
0.005,0.064067057,0.00307644,0.010597347,0.000349446
0.01,0.063387036,0.003341409,0.010293542,0.000374038
0.015,0.063190613,0.003411089,0.00985545,0.000401942
0.02,0.062547865,0.003216514,0.009131943,0.000375392
0.025,0.062008387,0.002873688,0.008261745,0.000446945
0.03,0.061308806,0.003264326,0.007260102,0.000381291
0.035,0.060280687,0.003323216,0.006389859,0.000343711
0.04,0.059712476,0.004001404,0.005607404,0.00033446
0.045,0.05859401,0.004899556,0.005139285,0.000400631
0.05,0.057356449,0.004559678,0.005114843,0.000311868
0.055,0.056675828,0.005007813,0.00510643,0.000362474
0.06,0.055335976,0.004210725,0.005029739,0.000416839
0.065,0.053763763,0.004171273,0.004988324,0.000424709
0.07,0.052142054,0.003877784,0.004924302,0.000431921
0.075,0.050950776,0.003881509,0.004828189,0.000440319
0.08,0.0501649,0.004062962,0.004573483,0.000435352
0.085,0.049107121,0.003601188,0.004019069,0.000407349
0.09,0.04741999,0.00367007,0.004157718,0.000481274
0.095,0.044692857,0.003939533,0.00630139,0.00099282
0.1,0.040280632,0.00499697,0.011591513,0.000930352
