from,to,I@x=0,I@x=1,I@x=2,x@I=0
Natural areas,Arable land,0,0,0,5
Natural areas,Permanent crops,0,0,0,5
Natural areas,Pastures,0,0,0,5
Natural areas,Agricultural areas,0,0,0,5
Natural areas,Residential,0,0,0,5
Natural areas,Industry & commerce,0,0,0,5
Natural areas,Recreation areas,0,0,0,5
Natural areas,Forest,9.42352531273659,4.25,0.42500000000000004,5
Arable land,Arable land,250.0,9.25,0.925,5
Arable land,Permanent crops,10.0,4.25,0.42500000000000004,5
Arable land,Pastures,0,0,0,5
Arable land,Agricultural areas,3.8507163126524695,4.25,0.42500000000000004,5
Arable land,Residential,12.054648812021558,4.25,0.42500000000000004,5
Arable land,Industry & commerce,10.0,4.25,0.42500000000000004,5
Arable land,Recreation areas,0,0,0,5
Arable land,Forest,0,0,0,5
Permanent crops,Arable land,10.0,11.552148937957408,1.155214893795741,5
Permanent crops,Permanent crops,543.2922395264786,9.25,0.925,4
Permanent crops,Pastures,0,0,0,5
Permanent crops,Agricultural areas,76.489171186296,0,0,5
Permanent crops,Residential,39.416193938378015,0,0,5
Permanent crops,Industry & commerce,0,0,0,5
Permanent crops,Recreation areas,0,0,0,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,0,0,0,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,250.0,17.938019813619864,1.7938019813619865,5
Pastures,Agricultural areas,5.0,23.510828813703984,2.3510828813703983,5
Pastures,Residential,0,0,0,5
Pastures,Industry & commerce,0,0,0,5
Pastures,Recreation areas,0,0,0,5
Pastures,Forest,0,0,0,5
Agricultural areas,Arable land,5.0,0,0,5
Agricultural areas,Permanent crops,0,0,0,5
Agricultural areas,Pastures,0,0,0,5
Agricultural areas,Agricultural areas,1000.0,42.54981731172714,4.254981731172714,5
Agricultural areas,Residential,5.0,0,0,5
Agricultural areas,Industry & commerce,5.0,0,0,5
Agricultural areas,Recreation areas,0,0,0,5
Agricultural areas,Forest,5.0,0,0,5
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,8.92102543867244,0.8921025438672441,5
Residential,Residential,603.3821992276221,36.97700831164302,3.697700831164302,5
Residential,Industry & commerce,39.10563193686383,3.34821643858832,0.33482164385883206,5
Residential,Recreation areas,0,0,0,5
Residential,Forest,0,0,0,5
Industry & commerce,Arable land,0,0,0,5
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,0,0,5
Industry & commerce,Industry & commerce,1000.0,47.6201264377471,4.76201264377471,5
Industry & commerce,Recreation areas,0,0,0,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,0,0,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,0,0,5
Recreation areas,Industry & commerce,0,0,0,5
Recreation areas,Recreation areas,996.9510179665813,9.25,0.925,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,0,0,0,5
Forest,Permanent crops,0,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,0,0,0,5
Forest,Residential,0,0,0,5
Forest,Industry & commerce,0,0,0,5
Forest,Recreation areas,0,0,0,5
Forest,Forest,368.5704714129929,8.610463437158256,0.8610463437158256,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,0,0,5
Road & rail,Industry & commerce,0,0,0,5
Road & rail,Recreation areas,0,0,0,5
Road & rail,Forest,0,0,0,5
Seaports,Arable land,0,0,0,5
Seaports,Permanent crops,0,0,0,5
Seaports,Pastures,0,0,0,5
Seaports,Agricultural areas,0,0,0,5
Seaports,Residential,0,0,0,5
Seaports,Industry & commerce,0,0,0,5
Seaports,Recreation areas,0,0,0,5
Seaports,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,0,0,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,0,0,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
Mine & dump sites,Arable land,0,0,0,5
Mine & dump sites,Permanent crops,0,0,0,5
Mine & dump sites,Pastures,0,0,0,5
Mine & dump sites,Agricultural areas,0,0,0,5
Mine & dump sites,Residential,0,0,0,5
Mine & dump sites,Industry & commerce,0,0,0,5
Mine & dump sites,Recreation areas,0,0,0,5
Mine & dump sites,Forest,0,0,0,5
Fresh water,Arable land,0,0,0,5
Fresh water,Permanent crops,0,0,0,5
Fresh water,Pastures,0,0,0,5
Fresh water,Agricultural areas,0,0,0,5
Fresh water,Residential,0,0,0,5
Fresh water,Industry & commerce,0,0,0,5
Fresh water,Recreation areas,0,0,0,5
Fresh water,Forest,0,0,0,5
Marine water,Arable land,0,0,0,5
Marine water,Permanent crops,0,0,0,5
Marine water,Pastures,0,0,0,5
Marine water,Agricultural areas,0,0,0,5
Marine water,Residential,0,0,0,5
Marine water,Industry & commerce,0,0,0,5
Marine water,Recreation areas,0,0,0,5
Marine water,Forest,0,0,0,5
