Case study,Year,Seed,Kappa,KSIM,AAWCE
Rome,2000,0,0.97486528139204309,0.020533917429883263,0.010407165058093366
Rome,2000,1,0.97491021831446489,0.012536288350893977,0.010062303755720231
Rome,2000,2,0.97486528139204298,0.018001760527804438,0.010168475882128677
Rome,2000,3,0.9749851131851679,0.014923251677614574,0.0099797254557955541
Rome,2000,4,0.97547192984473807,0.021994015914903693,0.009899567930679672
Rome,2000,5,0.97523975574555832,0.016795342635230092,0.010156893237279481
Rome,2000,6,0.97485779190497268,0.014213887442531811,0.01018318979715368
Rome,2000,7,0.97543448240938646,0.018165489896485251,0.0097699994476663013
Rome,2000,8,0.9755468247154413,0.016777626535890836,0.0099568119307634935
Rome,2000,9,0.97482783395669159,0.013362949759556689,0.010236795372738082
Rome,2000,10,0.97518732933606633,0.014480284093142785,0.01015751322943287
Rome,2000,11,0.97504502908173041,0.016979735310248299,0.010156343245705591
Rome,2000,12,0.97553184574130059,0.016158781282801179,0.0098205378039565895
Rome,2000,13,0.97527720318091016,0.015682344540293863,0.0098347786907980895
Rome,2000,14,0.97477540754719927,0.019051938371950287,0.010242764073604764
Rome,2000,15,0.97474544959891818,0.015311478285165858,0.010350390266000681
Rome,2000,16,0.97515737138778513,0.014461838020856804,0.010070844706168812
Rome,2000,17,0.97476042857305878,0.014765756577799454,0.010359296109768977
Rome,2000,18,0.97431105934884021,0.021169980538042338,0.010662444616723454
Rome,2000,19,0.97517235036192562,0.021397530091432731,0.010147930578060387
Rome,2000,20,0.97507498703001172,0.018091987494754415,0.010185338149084313
Rome,2000,21,0.97523226625848813,0.021773016950068811,0.0099224403195260005
Rome,2000,22,0.9750000921593085,0.01576464077013108,0.010120175081438585
Rome,2000,23,0.97538954548696455,0.013711497221507999,0.0099522782659436874
Rome,2000,24,0.97478289703426968,0.01557977305308517,0.01063682847561003
Rome,2000,25,0.97519481882313663,0.015611722379567206,0.010063191260390658
Rome,2000,26,0.97513490292657412,0.016455536826422677,0.010155684109002675
Rome,2000,27,0.97480536549548069,0.016791952480201894,0.010254250380766595
Rome,2000,28,0.97498511318516801,0.021789721783536033,0.010174662841198813
Rome,2000,29,0.97520979779727734,0.015619087825262256,0.0099289112398930641
Rome,2000,30,0.9749851131851679,0.014590647886811347,0.01030250124219383
Rome,2000,31,0.97547941933180837,0.019074134183376643,0.0099464845572631317
Rome,2000,32,0.97503753959466011,0.019280466478800721,0.010046923508898619
Rome,2000,33,0.97478289703426957,0.016451214983910906,0.010203032841376211
Rome,2000,34,0.97528469266798035,0.018305037913585558,0.010265668843365581
Rome,2000,35,0.97487277087911339,0.011327013563394221,0.010119625506089022
Rome,2000,36,0.97568163548270659,0.019838082544401694,0.0099554867059468422
Rome,2000,37,0.97511992395243363,0.018470430472502259,0.010282506028716833
Rome,2000,38,0.97514988190071483,0.020782175445108686,0.010148106653551741
Rome,2000,39,0.9749926026722382,0.019507119966862649,0.010317964741698372
Rome,2000,40,0.97471549165063676,0.015855709139568453,0.010441793167277525
Rome,2000,41,0.97595874650430803,0.021530669909382433,0.0097058522214999443
Rome,2000,42,0.97520230831020693,0.019711040231683793,0.01014542646092649
Rome,2000,43,0.97510494497829303,0.013238238235645527,0.010229974779243076
Rome,2000,44,0.97545695087059747,0.019904199055485648,0.010136284467467843
Rome,2000,45,0.97496264472395699,0.018898519900609697,0.010306276293535609
Rome,2000,46,0.9755468247154413,0.017704898187464908,0.0098201142120533866
Rome,2000,47,0.97537456651282417,0.0127426872993502,0.010195356601156322
Rome,2000,48,0.9756966144568473,0.018390091846213798,0.0097148207186871453
Rome,2000,49,0.97520979779727712,0.016242446885600691,0.010150223715595217
Rome,2006,0,0.90629119679461767,0.016942640186545982,0.013001079531119073
Rome,2006,1,0.90698072809869634,0.019142149064279974,0.012395052801176559
Rome,2006,2,0.90650105414803295,0.01623599559836408,0.012428011100505306
Rome,2006,3,0.90649355924255404,0.016031898973850815,0.012309634325476623
Rome,2006,4,0.90716810073567422,0.017185971951724135,0.012032477396702677
Rome,2006,5,0.90669592169049007,0.018629586360516974,0.012453491771083968
Rome,2006,6,0.90662097263569874,0.019072103798808346,0.012589615387028987
Rome,2006,7,0.90676337583980193,0.018950132482089387,0.011983689186750178
Rome,2006,8,0.90686080961103044,0.017573572337688539,0.012268301968577556
Rome,2006,9,0.90674089112336465,0.017307449852576082,0.012425192531467075
Rome,2006,10,0.90643359999872097,0.014080615149802755,0.012782888163407077
Rome,2006,11,0.90661347773021983,0.017170303878198973,0.012177688228668862
Rome,2006,12,0.90656850829734503,0.014361666905590324,0.01207790474668833
Rome,2006,13,0.90675588093432291,0.017184434285484499,0.012206008197887789
Rome,2006,14,0.90659848791926156,0.019808121916319091,0.01262051762823161
Rome,2006,15,0.90625372226722212,0.017097040884914916,0.012303356892876104
Rome,2006,16,0.90615628849599372,0.015086948133792773,0.012383417540227135
Rome,2006,17,0.90626121717270125,0.016176676103008197,0.012852809445480187
Rome,2006,18,0.90573657378916317,0.017245718285297505,0.012649109632221342
Rome,2006,19,0.90684581980007217,0.017747077009677967,0.012127085213084624
Rome,2006,20,0.90626871207818038,0.0174208260392456,0.012529846566803579
Rome,2006,21,0.90654602358090774,0.018693486923529984,0.012477742986285806
Rome,2006,22,0.90627620698365963,0.017949339266956316,0.012353496778546323
Rome,2006,23,0.90686080961103055,0.018161926306812286,0.012091661750675064
Rome,2006,24,0.9059389362370992,0.016108362089938422,0.012923299130928802
Rome,2006,25,0.90685331470555142,0.017397596717700872,0.012087620356567552
Rome,2006,26,0.90704818224800843,0.020391857087388339,0.012695033638201713
Rome,2006,27,0.90631368151105507,0.015088581065395831,0.012613425172053454
Rome,2006,28,0.90698072809869634,0.017407487409959947,0.012431927026129719
Rome,2006,29,0.90654602358090774,0.017006797637038447,0.012530685576575039
Rome,2006,30,0.9062986917000968,0.018140522043004609,0.013005360113977025
Rome,2006,31,0.90660598282474059,0.016887793208865867,0.012419005471847688
Rome,2006,32,0.90647856943159566,0.017384287887310265,0.012536148318985512
Rome,2006,33,0.90660598282474059,0.017990537961218293,0.012243739442198802
Rome,2006,34,0.90678586055623944,0.019304955038229803,0.012495197451920232
Rome,2006,35,0.90708565677540398,0.020834780597841572,0.012223018693333164
Rome,2006,36,0.90719058545211162,0.018105372250389728,0.011820028953446983
Rome,2006,37,0.90680834527267673,0.01987176231439404,0.01223249920571815
Rome,2006,38,0.9066059828247407,0.016246202317086813,0.012152128390573402
Rome,2006,39,0.90637364075488791,0.015594596976732926,0.012578919981357959
Rome,2006,40,0.90663596244665712,0.018195627111757446,0.012595579168851918
Rome,2006,41,0.90671091150144811,0.017316241365575906,0.012551159168839575
Rome,2006,42,0.90671840640692736,0.016018871726416372,0.012589048853208117
Rome,2006,43,0.90644109490420011,0.01690865010574135,0.012789458997335749
Rome,2006,44,0.90655351848638677,0.013852457521139398,0.012302036320298419
Rome,2006,45,0.90599889548093226,0.015639388285641976,0.012694661449696207
Rome,2006,46,0.90655351848638688,0.015362024845368005,0.012374109857662083
Rome,2006,47,0.90696573828773819,0.019139463100240065,0.012193418764220367
Rome,2006,48,0.90641111528228357,0.014725033144673917,0.012384571111897226
Rome,2006,49,0.90676337583980193,0.017576994515103934,0.012204859420451578
