Case study,Year,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Rome,2000,0,0.985021026,0.024913642,0.672687761,0.762530632,0.745123275,0.635436363,0.624929036,0.691782971,0.653961611,0.638338333,0.711433832,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,1,0.985193284,0.030345435,0.672618209,0.763517919,0.744832569,0.627100305,0.624650746,0.691897763,0.653961611,0.639122849,0.71113438,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,2,0.985028515,0.026349136,0.673383282,0.763517919,0.744723554,0.639882262,0.625121699,0.691897763,0.654907071,0.638338333,0.711345758,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,3,0.9851109,0.030764082,0.672792089,0.763769228,0.744723554,0.638770787,0.624993257,0.690348069,0.654276764,0.637553818,0.711469061,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,4,0.985200774,0.026157508,0.674148355,0.762907596,0.744941584,0.634324889,0.62469356,0.692988289,0.651755537,0.638338333,0.71113438,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,5,0.985148347,0.023201858,0.674252684,0.763643573,0.744977922,0.634880626,0.625335768,0.692414328,0.655537378,0.639907364,0.711363372,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,6,0.985013536,0.027197451,0.673591939,0.763805129,0.744905246,0.628767516,0.624650746,0.691668179,0.656167684,0.639122849,0.711662824,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,7,0.985140858,0.03027536,0.673522386,0.763140955,0.745486658,0.629323254,0.624907629,0.692586516,0.654907071,0.638338333,0.711380987,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,8,0.985036005,0.022587846,0.672583433,0.763571771,0.744796231,0.631546203,0.625014664,0.691782971,0.656167684,0.638338333,0.711398602,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,9,0.984998557,0.021570917,0.673591939,0.763625623,0.744977922,0.629878991,0.624907629,0.691668179,0.656482838,0.638338333,0.711222454,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,10,0.984991068,0.024313255,0.673035522,0.763589721,0.744759893,0.63210194,0.624714967,0.691840367,0.653646458,0.638338333,0.711292913,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,11,0.984856257,0.02037297,0.672479105,0.763733327,0.744541863,0.630434728,0.625271547,0.692356932,0.653016151,0.638338333,0.711557136,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,12,0.985021026,0.030542122,0.672861641,0.763212757,0.744868907,0.634324889,0.62525014,0.692184744,0.651755537,0.638338333,0.711768513,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,13,0.985036005,0.024449303,0.67313985,0.763697425,0.744723554,0.629323254,0.624993257,0.691897763,0.656797991,0.638338333,0.711363372,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
Rome,2000,14,0.985058473,0.025914191,0.673522386,0.763912833,0.744614539,0.633769152,0.625121699,0.691840367,0.653016151,0.638338333,0.711169609,0.661764893,0.394646039,0.865875529,0.607903618,0.70461041,0.994425336
