Case study,Year,Var Par Value,Seed,Kappa,KSIM,Natural areas,Arable land,Permanent crops,Pastures,Agricultural areas,Residential,Industry & commerce,Recreation areas,Forest,Road & rail,Seaports,Airports,Mine & dump sites,Fresh water,Marine water
Rome,2000,0.0,0,0.9871255717261388,-0.00083984184491551778,0.68239028073918839,0.74517233749754785,0.73956351796765962,0.61876424597708757,0.62193206477154706,0.66406065724905228,0.50142738471859494,0.63833833331241296,0.70683636068350941,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.0,1,0.98717050864856071,0.0014447577413580347,0.68245983285114731,0.74560315349501605,0.73934548826315372,0.61987572047861206,0.62201769252427419,0.66406065724905228,0.50174253807844416,0.63833833331241296,0.70676590135783091,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.0,2,0.9871630191614903,-0.00088822575705232651,0.68242505679516796,0.74567495616126067,0.73927281169498504,0.61987572047861206,0.62206050640063781,0.66423284553339412,0.49953646455949985,0.63833833331241296,0.70687159034634861,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.0,3,0.9871180822390685,-0.0020081983433312602,0.68211207229135229,0.74590831482655595,0.73916379684273215,0.61876424597708757,0.62201769252427419,0.66429024162817474,0.50111223135874572,0.63833833331241296,0.70673067169499171,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.0,4,0.98722293505805281,0.0049430422770059025,0.68242505679516796,0.74510053483130312,0.73938182654723805,0.61598555972327618,0.62197487864791068,0.66383107286992982,0.50205769143829326,0.63833833331241296,0.70669544203215251,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.01,0,0.98699825044594347,0.0032641962871961363,0.68092968638804929,0.75463233877528757,0.74283396353524878,0.62598883023699692,0.62349477125881725,0.67112037690706805,0.53294272070351301,0.63833833331241296,0.70838646584843468,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.01,1,0.98693084506231066,-0.00017843154468236505,0.68106879061196712,0.75488364810714403,0.74225255098989951,0.62710030473852152,0.62362321288790779,0.66985766282189452,0.53546394758230642,0.63833833331241296,0.70826316202849737,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.01,2,0.98700573993301399,0.0043992152202632501,0.68148610328372128,0.75495545077338866,0.74323368466017625,0.62765604198928371,0.6237730614551803,0.6712925651914099,0.54145186141944091,0.63833833331241296,0.70833362135417577,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.01,3,0.98701322942008418,-0.00018441925312756539,0.68148610328372128,0.75456053610904283,0.74294297838750156,0.62765604198928371,0.62362321288790779,0.6698002667271139,0.53577910094215575,0.63833833331241296,0.70833362135417577,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
Rome,2000,0.01,4,0.98703569788129508,0.006105517752800038,0.68120789483588517,0.75421947344438056,0.74301565495567024,0.62765604198928371,0.62343055044427187,0.67008724720101698,0.54082155469974258,0.63833833331241296,0.70826316202849737,0.66176489321654119,0.39464603901111484,0.86587552880599372,0.6079036184705402,0.70461041013260139,0.99442533646613152
